,date,Nicolas Dupont-Aignan,Hélène Thouy,Yannick Jadot,François Baroin,Jean-Frédéric Poisson,Jean Lassalle,Jean-Christophe Lagarde,Eric Piolle,Jean-Luc Mélenchon,François Hollande,Valérie Pécresse,Laurent Wauquiez,Christiane Taubira,Eric Ciotti,Philippe Juvin,Denis Payre,Philippe Poutou,Michel Barnier,Arnaud Montebourg,Florian Philippot,Emmanuel Macron,Eric Zemmour,Anne Hidalgo,Fabien Roussel,Bruno Retailleau,Marine Le Pen,Xavier Bertrand,Nathalie Arthaud,Sandrine Rousseau,François Asselineau
0,2021-01-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,2021-02-24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2,2021-03-04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,2021-03-11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,2021-04-08,5.99,null,7.27,null,null,null,null,null,10.29,null,null,null,null,null,null,null,null,null,null,null,25.49,null,8.96,null,null,25.94,16.28,null,null,null
5,2021-04-09,5.81,null,7.24,null,null,null,null,null,10.48,null,null,null,null,null,null,null,null,null,null,null,25.47,null,8.79,null,null,25.98,16.27,null,null,null
6,2021-04-10,5.63,null,7.22,null,null,null,null,null,10.68,null,null,null,null,null,null,null,null,null,null,null,25.45,null,8.63,null,null,26.02,16.26,null,null,null
7,2021-04-11,5.45,null,7.2,null,null,null,null,null,10.87,null,null,null,null,null,null,null,null,null,null,null,25.44,null,8.46,null,null,26.06,16.25,null,null,null
8,2021-04-12,5.27,null,7.17,null,null,null,null,null,11.06,null,null,null,null,null,null,null,null,null,null,null,25.42,null,8.29,null,null,26.1,16.24,null,null,null
9,2021-04-13,5.09,null,7.14,null,null,null,null,null,11.26,null,null,null,null,null,null,null,null,null,null,null,25.4,null,8.13,null,null,26.14,16.23,null,null,null
10,2021-04-14,4.91,null,7.12,null,null,null,0.68,null,11.45,null,null,null,null,null,null,null,1.34,null,null,null,25.38,null,7.96,null,null,26.18,16.22,0.8,null,null
11,2021-04-15,4.77,null,7.86,null,null,null,0.68,null,10.86,null,null,null,null,null,null,null,1.34,null,null,null,25.58,null,7.86,null,null,26.2,16.05,0.8,null,null
12,2021-04-16,4.76,null,7.85,null,null,null,0.68,null,10.86,null,null,null,null,null,null,null,1.34,null,null,null,25.58,null,7.86,null,null,26.18,16.06,0.8,null,null
13,2021-04-17,4.74,null,7.84,null,null,null,0.68,null,10.86,null,null,null,null,null,null,null,1.34,null,null,null,25.58,null,7.86,null,null,26.17,16.08,0.8,null,null
14,2021-04-18,4.72,null,7.82,null,null,null,0.68,null,10.86,null,null,null,null,null,null,null,1.34,null,null,null,25.57,null,7.86,null,null,26.16,16.09,0.8,null,null
15,2021-04-19,4.71,null,7.81,null,null,1.47,0.68,null,10.86,null,null,null,null,null,null,null,1.34,null,null,null,25.57,null,7.86,1.94,null,26.14,16.1,0.8,null,null
16,2021-04-20,4.71,null,7.81,null,null,1.47,0.68,null,10.86,null,null,null,null,null,null,null,1.34,null,null,null,25.58,null,7.85,1.94,null,26.15,16.1,0.8,null,null
17,2021-04-21,4.71,null,7.81,null,null,1.46,0.69,null,10.86,null,null,null,null,null,null,null,1.34,null,null,null,25.58,null,7.84,1.94,null,26.15,16.1,0.8,null,null
18,2021-04-22,4.71,null,7.81,null,null,1.46,0.69,null,10.85,null,null,null,null,null,null,null,1.34,null,null,null,25.59,null,7.84,1.94,null,26.16,16.1,0.8,null,null
19,2021-04-23,4.71,null,7.81,null,null,1.45,0.7,null,10.85,null,null,null,null,null,null,null,1.34,null,null,null,25.6,null,7.83,1.95,null,26.17,16.1,0.8,null,null
20,2021-04-24,4.71,null,7.8,null,null,1.45,0.7,null,10.85,null,null,null,null,null,null,null,1.33,null,null,null,25.61,null,7.82,1.95,null,26.18,16.09,0.8,null,null
21,2021-04-25,4.71,null,7.8,null,null,1.45,0.71,null,10.85,null,null,null,null,null,null,null,1.33,null,null,null,25.62,null,7.81,1.95,null,26.18,16.09,0.8,null,null
22,2021-04-26,4.71,null,7.8,null,null,1.44,0.71,null,10.84,null,null,null,null,null,null,null,1.33,null,null,null,25.62,null,7.8,1.95,null,26.19,16.09,0.8,null,null
23,2021-04-27,4.71,null,7.8,null,null,1.44,0.72,null,10.84,null,null,null,null,null,null,null,1.33,null,null,null,25.63,null,7.79,1.95,null,26.2,16.09,0.8,null,null
24,2021-04-28,4.71,null,7.8,null,null,1.43,0.72,null,10.84,null,null,null,null,null,null,null,1.33,null,null,null,25.64,null,7.79,1.95,null,26.2,16.09,0.8,null,null
25,2021-04-29,4.71,null,7.8,null,null,1.43,0.73,null,10.84,null,null,null,null,null,null,null,1.33,null,null,null,25.64,null,7.78,1.95,null,26.21,16.09,0.8,null,null
26,2021-04-30,4.71,null,7.8,null,null,1.43,0.73,null,10.84,null,null,null,null,null,null,null,1.33,null,null,null,25.65,null,7.77,1.96,null,26.22,16.09,0.8,null,null
27,2021-05-01,4.71,null,7.8,null,null,1.42,0.74,null,10.83,null,null,null,null,null,null,null,1.33,null,null,null,25.66,null,7.76,1.96,null,26.23,16.09,0.8,null,null
28,2021-05-02,4.71,null,7.8,null,null,1.42,0.74,null,10.83,null,null,null,null,null,null,null,1.33,null,null,null,25.67,null,7.75,1.96,null,26.23,16.09,0.8,null,null
29,2021-05-03,4.71,null,7.8,null,null,1.42,0.75,null,10.83,null,null,null,null,null,null,null,1.33,null,null,null,25.68,null,7.74,1.96,null,26.24,16.08,0.8,null,null
30,2021-05-04,4.71,null,7.79,null,null,1.41,0.75,null,10.83,null,null,null,null,null,null,null,1.32,null,null,null,25.68,null,7.74,1.96,null,26.25,16.08,0.8,null,null
31,2021-05-05,4.71,null,7.79,null,null,1.41,0.75,null,10.83,null,null,null,null,null,null,null,1.32,null,null,null,25.69,null,7.73,1.96,null,26.25,16.08,0.8,null,null
32,2021-05-06,4.71,null,7.79,null,null,1.4,0.76,null,10.82,null,null,null,null,null,null,null,1.32,null,null,null,25.7,null,7.72,1.96,null,26.26,16.08,0.8,null,null
33,2021-05-07,4.71,null,7.79,null,null,1.4,0.76,null,10.82,null,null,null,null,null,null,null,1.32,null,null,null,25.7,null,7.71,1.97,null,26.27,16.08,0.8,null,null
34,2021-05-08,4.71,null,7.79,null,null,1.4,0.77,null,10.82,null,null,null,null,null,null,null,1.32,null,null,null,25.71,null,7.7,1.97,null,26.28,16.08,0.8,null,null
